Symbols
AAL
ALK
ALLE
AME
AOS
ARNC
BA
CAT
CHRW
CMI
CPRT
CSX
CTAS
DAL
DE
DOV
EFX
EMR
ETN
EXPD
FAST
FBHS
FDX
FLS
FTV
GD
GE
GWW
HII
HON
IEX
INFO
IR
ITW
J
JBHT
JCI
KSU
LHX
LMT
LUV
MAS
MMM
NLSN
NOC
NSC
ODFL
PCAR
PH
PNR
PWR
RHI
ROK
ROL
ROP
RSG
RTN
SNA
SWK
TDG
TT
TXT
UAL
UNP
UPS
URI
UTX
VRSK
WAB
WM
XYL
