Symbols
A
ABBV
ABC
ABMD
ABT
AGN
ALGN
ALXN
AMGN
ANTM
BAX
BDX
BIIB
BMY
BSX
CAH
CERN
CI
CNC
COO
CVS
DGX
DHR
DVA
EW
GILD
HCA
HOLX
HSIC
HUM
IDXX
ILMN
INCY
IQV
ISRG
JNJ
LH
LLY
MCK
MDT
MRK
MTD
MYL
PFE
PKI
PRGO
REGN
RMD
STE
SYK
TFX
TMO
UHS
UNH
VAR
VRTX
WAT
XRAY
ZBH
ZTS
