Symbols
AIV
AMT
ARE
AVB
BXP
CBRE
CCI
DLR
DRE
EQIX
EQR
ESS
EXR
FRT
HST
IRM
KIM
MAA
O
PEAK
PLD
PSA
REG
SBAC
SLG
SPG
UDR
VNO
VTR
WELL
WY
