Symbols
AAPL
ACN
ADBE
ADI
ADP
ADS
ADSK
AKAM
AMAT
AMD
ANET
ANSS
APH
AVGO
BR
CDNS
CDW
CRM
CSCO
CTSH
CTXS
DXC
FFIV
FIS
FISV
FLIR
FLT
FTNT
GLW
GPN
HPE
HPQ
IBM
INTC
INTU
IPGP
IT
JKHY
JNPR
KEYS
KLAC
LDOS
LRCX
MA
MCHP
MSFT
MSI
MU
MXIM
NLOK
NOW
NTAP
NVDA
ORCL
PAYC
PAYX
PYPL
QCOM
QRVO
SNPS
STX
SWKS
TEL
TXN
V
VRSN
WDC
WU
XLNX
XRX
ZBRA
