Symbols
ADM
BF.B
CAG
CHD
CL
CLX
COST
COTY
CPB
EL
GIS
HRL
HSY
K
KHC
KMB
KO
KR
LW
MDLZ
MKC
MNST
MO
PEP
PG
PM
SJM
STZ
SYY
TAP
TSN
WBA
WMT
