Symbols
AFL
AIG
AIZ
AJG
ALL
AMP
AON
AXP
BAC
BEN
BK
BLK
BRK.B
C
CB
CBOE
CFG
CINF
CMA
CME
COF
DFS
ETFC
FITB
FRC
GL
GS
HBAN
HIG
ICE
IVZ
JPM
KEY
L
LNC
MCO
MET
MKTX
MMC
MS
MTB
NDAQ
NTRS
PBCT
PFG
PGR
PNC
PRU
RE
RF
RJF
SCHW
SIVB
SPGI
STT
SYF
TFC
TROW
TRV
UNM
USB
WFC
WLTW
WRB
ZION
