Symbols
MAR
AAP
AMZN
APTV
AZO
BBY
BKNG
BWA
CCL
CMG
CPRI
DG
DHI
DLTR
DRI
EBAY
EXPE
F
GM
GPC
GPS
GRMN
HAS
HBI
HD
HLT
HOG
HRB
JWN
KMX
KSS
LB
LEG
LEN
LKQ
LOW
LVS
M
MCD
MGM
MHK
NCLH
NKE
NVR
NWL
ORLY
PHM
PVH
RCL
RL
ROST
SBUX
TGT
TIF
TJX
TPR
TSCO
UA
UAA
ULTA
VFC
WHR
WYNN
YUM
