Symbols
ATVI
CHTR
CMCSA
CTL
DIS
DISCA
DISCK
DISH
EA
FB
FOX
FOXA
GOOG
GOOGL
IPG
LYV
NFLX
NWS
NWSA
OMC
T
TMUS
TTWO
TWTR
VIAC
VZ
