Symbols
NOV
APA
BKR
COG
COP
CVX
CXO
DVN
EOG
FANG
FTI
HAL
HES
HFC
HP
KMI
MPC
MRO
NBL
OKE
OXY
PSX
PXD
SLB
VLO
WMB
XOM
